id;Speciality;Vacancy;Date;Date (Квартал);AvgSalary;salary_to;salary_from;salary_currency;employer_name;Year;area_name;Country
1;Другая специальность;Бизнес-аналитик мобильного приложения (iOS/Android) в ИТ компанию Первая Форма;17.04.2020;2;;;;;Территория Про;2021;Москва;Russian Federation
1;Другая специальность;Интернет-маркетолог по ASO / SEO в среде IOS / Android;14.04.2020;2;30000;30000;;RUR;GoRMBGames;2020;Москва;Russian Federation
2;Другая специальность;Младший менеджер по работе с клиентами в рекламную группу KIOSK;28.08.2020;3;;;;;Киоск Групп;2021;Москва;Russian Federation
1;Другая специальность;Руководитель мобильных приложений IOS/Android;23.04.2021;2;200000;;200000;RUR;Coral Club;2021;Москва;Russian Federation
1;Другая специальность;Системный аналитик мобильных приложений (iOS, Android);25.11.2020;4;;;;;Техносерв Консалтинг;2020;Москва;Russian Federation
1;Другая специальность;Специалист по биостатистике (Biostatistian);01.06.2020;2;;;;;Р-Фарм / R-Pharm Group;2020;Москва;Russian Federation
1;Другая специальность;Стажер в команду iOS-разработки Дзена;25.03.2021;1;;;;;Яндекс;2021;Москва;Russian Federation
1;Другая специальность;Тестер (для тестирования приложений на iOS, Android, а также Web приложений и API);04.02.2021;1;126000;180000;72000;RUR;Zoftify Eesti O?;2020;Москва;Russian Federation
1;Другая специальность;Тестер (тестирование приложений на iOS, Android, а также Web приложений и API);10.06.2021;2;107000;154000;60000;RUR;Zoftify Eesti O?;2020;Москва;Russian Federation
1;Другая специальность;Biostatistician;03.05.2020;2;;;;;Parexel International;2020;Москва;Russian Federation
2;Другая специальность;Biostatistician II;22.08.2020;3;;;;;Parexel International;2020;Москва;Russian Federation
1;Другая специальность;QA Automation IOS/Android;19.05.2020;2;;;;;WILDBERRIES;2020;Москва;Russian Federation
1;Другая специальность;Senior IOS;08.09.2020;3;180000;;180000;RUR;Бизнес Успех;2020;Москва;Russian Federation
1;Другая специальность;Senior iOS SDK Engineer;24.03.2021;1;145000;170000;120000;RUR;Apphud;2021;Санкт-Петербург;Russian Federation
1;Другая специальность;Senior QA Инженер (тестирования мобильных приложений (iOS, Android);12.04.2021;2;195000;230000;160000;RUR;L’etoile Digital;2021;Санкт-Петербург;Russian Federation
1;Другая специальность;Senior QA Инженер (удаленно-тестирование мобильных приложений (iOS, Android);14.04.2021;2;205000;230000;180000;RUR;L’etoile Digital;2021;Санкт-Петербург;Russian Federation
1;Другая специальность;Senior QA Engineer (Mobile iOS / Android / Fullstack JavaScript - Remote);22.04.2021;2;4000;4000;4000;USD;Данченкова Светлана Викторовна;2021;Санкт-Петербург;Russian Federation
1;Другая специальность;Team lead/ Tech lead в команду “Отели”;28.12.2020;4;;;;;Туту.ру;2020;Москва;Russian Federation
1;Другая специальность;Technical Lead iOS;26.07.2021;3;310000;340000;280000;RUR;FunCorp;2021;Екатеринбург;Russian Federation
1;Программист;Ведущий программист iOS (удаленная занятость);27.08.2020;3;;;;;FIX PRICE;2020;Тверь;Russian Federation
2;Программист;Ведущий NodeJS/PHP-программист (backend мобильного приложения);22.12.2020;4;100000;;100000;RUR;Улыбка радуги;2020;Москва;Russian Federation
1;Программист;Программист / Ведущий программист iOS;28.06.2021;2;;;;;Программный Продукт, ИТ-компания;2021;Санкт-Петербург;Russian Federation
1;Программист;Программист / Ведущий программист iOS;04.05.2020;2;;;;;Программный Продукт, ИТ-компания;2020;Москва;Russian Federation
1;Программист;Программист мобильного приложения на ios и android;29.03.2021;1;;;;;AnyReal;2021;Москва;Russian Federation
1;Программист;Программист на IOS;26.10.2021;4;150000;200000;100000;RUR;Аруснави;2021;Москва;Russian Federation
78;Программист;Программист на Unity под Android и IOS.;09.02.2021;1;40030;80000;60;RUR;Бородкин Константин Викторович;2021;Москва;Russian Federation
1;Программист;Программист iOS;04.04.2021;2;200000;;200000;RUR;Биганто;2021;Москва;Russian Federation
1;Программист;Программист IOS;06.04.2021;2;140000;200000;80000;RUR;Soft Jet;2021;Москва;Russian Federation
1;Программист;Программист IOS;26.05.2021;2;140000;200000;80000;RUR;Soft Jet;2021;Москва;Russian Federation
1;Программист;Программист iOS;07.05.2021;2;200000;;200000;RUR;Биганто;2021;Москва;Russian Federation
1;Программист;Программист iOS;23.04.2020;2;;;;;ГПМ Радио;2020;Москва;Russian Federation
1;Программист;Программист iOS;23.06.2020;2;;;;;ГПМ Радио;2020;Москва;Russian Federation
1;Программист;Программист IOS;01.04.2021;2;250000;;250000;RUR;IT and Digital;2021;Москва;Russian Federation
1;Программист;Программист iOS;01.04.2021;2;;;;;QIWI;2021;Минск;Belarus
1;Программист;Программист-специалист по разработке мобильных приложений ios и Android;16.03.2021;1;175000;200000;150000;RUR;ПРОФНОРД;2021;Москва;Russian Federation
1;Программист;IOS программист;09.08.2021;3;100000;130000;70000;RUR;Алеф ван лтд;2021;Москва;Russian Federation
1;Программист;IOS программист;01.04.2021;2;180000;215000;145000;RUR;БИФИТ;2021;Москва;Russian Federation
1;Программист;IOS программист;13.06.2021;2;100000;130000;70000;RUR;Алеф ван лтд;2021;Санкт-Петербург;Russian Federation
1;Программист;IOS программист;06.11.2021;4;100000;130000;70000;RUR;Алеф ван лтд;2021;Москва;Russian Federation
1;Программист;IOS программист;24.11.2021;4;200000;260000;140000;RUR;БИФИТ;2021;Москва;Russian Federation
1;Программист;IOS Программист;15.06.2020;2;100000;120000;80000;RUR;Ильяев Леонид Львович;2020;Москва;Russian Federation
1;Разработчик;Ведущий iOS разработчик;26.05.2020;2;250000;250000;;RUR;MAXIMUM EDUCATION;2020;Москва;Russian Federation
1;Разработчик;Главный разработчик IOS;15.08.2020;3;;;;;Сбербанк;2020;Москва;Russian Federation
1;Разработчик;Главный IOS разработчик (Техлид команды);22.11.2021;4;350000;350000;;RUR;Азбука вкуса;2021;Санкт-Петербург;Russian Federation
1;Разработчик;Младший разработчик iOS, Buyer Experience;21.07.2021;3;;;;;Ozon;2021;Москва;Russian Federation
1;Разработчик;Младший IOS разработчик;22.04.2021;2;;;;;Газпромбанк;2021;Москва;Russian Federation
1;Разработчик;Мобильный (iOS/Andriod) разработчик в Сбере;23.08.2021;3;;;;;Сбербанк;2021;Москва;Russian Federation
1;Разработчик;Мобильный (iOS/Andriod) разработчик в Сбере;24.08.2021;3;;;;;Сбербанк;2021;Москва;Russian Federation
1;Разработчик;Мобильный (iOS/Andriod) разработчик в Сбере;23.08.2021;3;;;;;Сбербанк;2021;Москва;Russian Federation
1;Разработчик;Мобильный (iOS/Andriod) разработчик в Сбере;02.09.2021;3;;;;;Сбербанк;2021;Москва;Russian Federation
1;Разработчик;Мобильный (iOS/Andriod) разработчик в Сбере;27.08.2021;3;;;;;Сбербанк;2021;Москва;Russian Federation
1;Разработчик;Мобильный разработчик (iOS, Android);18.02.2021;1;60000;60000;;RUR;GRAFFIT;2021;Москва;Russian Federation
1;Разработчик;Мобильный разработчик Android/IOS(Middle/Senior);21.03.2020;1;90000;;90000;RUR;Электронное издательство ЮРАЙТ;2020;Москва;Russian Federation
1;Разработчик;Программист разработчик Mac OS / iOS;20.06.2021;2;100000;;100000;RUR;ИнфоТех;2021;Москва;Russian Federation
66;Разработчик;Разработчик кросс-платформенного мобильного приложения Android / iOS;12.07.2021;3;80000;;80000;RUR;РК-ТЕХНОЛОГИИ;2021;Москва;Russian Federation
1002;Разработчик;Разработчик мобильных игр/приложений Android и iOS;12.12.2020;4;550000;1000000;100000;RUR;Lafa games;2020;Москва;Russian Federation
1;Разработчик;Разработчик мобильных приложений (Android / iOS/Unity), Удаленная работа;06.05.2020;2;950;;950;USD;Lemon Technologies Group;2020;Москва;Russian Federation
1;Разработчик;Разработчик мобильных приложений (Android/IOS);16.03.2021;1;100000;;100000;RUR;ЕГЭLAND (ИП Филатов Александр Дмитриевич);2021;Москва;Russian Federation
1;Разработчик;Разработчик мобильных приложений (Android/IOS);03.05.2021;2;;;;;МКК М Булак;2021;Москва;Russian Federation
1;Разработчик;Разработчик мобильных приложений (iOS, Android);08.05.2021;2;;;;;НТ Прогресс;2021;Москва;Russian Federation
1;Разработчик;Разработчик мобильных приложений (iOS, Android);25.05.2020;2;;;;;НТ Прогресс;2020;Москва;Russian Federation
1;Разработчик;Разработчик мобильных приложений на iOS (Swift);15.08.2021;3;140000;;140000;RUR;Джимсофт;2021;Санкт-Петербург;Russian Federation
1;Разработчик;Разработчик мобильных приложений под iOS;14.08.2021;3;290000;290000;;RUR;Точка;2021;Санкт-Петербург;Russian Federation
1;Разработчик;Разработчик мобильных приложений под iOS;28.10.2021;4;380000;380000;;RUR;Точка;2021;Санкт-Петербург;Russian Federation
1;Разработчик;Разработчик мобильных приложений под iOS;14.05.2021;2;250000;250000;;RUR;Точка;2021;Санкт-Петербург;Russian Federation
1;Разработчик;Разработчик мобильных приложений iOS;21.11.2021;4;125000;200000;50000;RUR;AISA;2021;Москва;Russian Federation
1;Разработчик;Разработчик мобильных приложений iOS;19.09.2021;3;125000;200000;50000;RUR;AISA;2021;Екатеринбург;Russian Federation
1;Разработчик;Разработчик мобильных приложений IOS Middle/ Senior (удаленно);10.08.2021;3;175000;180000;170000;RUR;СДЭК;2021;Тверь;Russian Federation
1;Разработчик;Разработчик мобильных приложения под Android / iOS;25.12.2020;4;80000;100000;60000;RUR;Adforia;2020;Москва;Russian Federation
1;Разработчик;Разработчик на IOS;24.03.2021;1;100000;;100000;RUR;MyAppTop;2021;Санкт-Петербург;Russian Federation
1;Разработчик;Разработчик на IOS;26.05.2021;2;90000;;90000;RUR;MyAppTop;2021;Москва;Russian Federation
2;Разработчик;Разработчик под iOS;11.01.2021;1;185000;200000;170000;RUR;Улыбка радуги;2021;Москва;Russian Federation
1;Разработчик;Разработчик Andriod, iOS;07.06.2021;2;;;;;Назарет Капитал;2021;Москва;Russian Federation
4;Разработчик;Разработчик Android, iOS;27.03.2021;1;100000;;100000;RUR;Аланис Софтвер;2021;Москва;Russian Federation
1;Разработчик;Разработчик IOS;17.03.2021;1;;;;;netPrint.ru;2021;Москва;Russian Federation
1;Разработчик;Разработчик iOS;24.03.2021;1;190000;220000;160000;RUR;Action;2021;Москва;Russian Federation
1;Разработчик;Разработчик iOS;15.09.2021;3;250000;;250000;RUR;Mercury;2021;Москва;Russian Federation
1;Разработчик;Разработчик iOS;24.11.2021;4;180000;;180000;RUR;Интеллектуальный Поиск;2021;Москва;Russian Federation
